ID,DEPARTAMENTO,COD_DPTO,MUNICIPIO,COD_MCPIO,Cod_candidato,NOMBRE,Votos,PARTIDO,COD_PARTIDO,GENERO,EDAD,age (estimada),gender (estimado),blurness,facequality,yaw_angle,pitch_angle,roll_angle,BD,alto,ancho,fhwr,alto_rot,ancho_rot,fhwr_rot,alto_correg,ancho_correg,fhwr_correg,ranking,partidoFE,ideologia_cat,fhwr_cat,combo_id
116003,CAUCA,11,PIAMONTE,60,03,JOHANA ROSA ARCOS NARVAEZ,549,PARTIDO CONSERVADOR COLOMBIANO,2,F,39,44,Female,"0,051","4,559","23,292994","-3,0803256","-2,8372538","26,989",100,189,"1,89",101,189,"1,871287129","101,7088862","188,223826","1,850613382",3,Conservador,Derecha,1,28
294302,TOLIMA,29,DOLORES,43,02,JOHN ARMANDO VERGEL RODRIGUEZ,1344,PARTIDO CENTRO DEMOCRATICO,11,M,44,25,Male,"0,064","5,105","22,081264","-15,720223","-4,1370864","5,241",90,189,"2,1",101,189,"1,871287129","96,76895592","188,5796648","1,948762008",2,Centro Democrático,Derecha,1,8
525801,META,52,SAN JUAN DE ARAMA,58,01,RAFAEL RICARDO MENDIETA ESPEJO,485,PARTIDO COLOMBIA RENACIENTE,15,M,46,49,Male,"0,067","5,19","23,070335","-2,5640025","-6,099621","2,548",90,144,"1,6",90,144,"1,6","93,20949052","142,4409627","1,528180896",3,0,,0,
1031304,ATLANTICO,103,GALAPA,13,04,RAFAEL DAVID PATIÑO MARENCO,374,PARTIDO COLOMBIA RENACIENTE,15,M,50,60,Male,"0,429","5,221","23,103758","0,7195954","-1,6946046","0,897",108,201,"1,861111111",110,201,"1,827272727","111,105204","200,4093665","1,803780194",5,0,,1,
197605,HUILA,19,SUAZA,76,05,RAMON ALFONSO DUARTE BAUTISTA,2739,PARTIDO SOCIAL DE LA UNIDAD NACIONAL - PARTIDO CENTRO DEMOCRÃTICO,3973,M,46,53,Male,"0,68","5,267","23,020954","2,4634485","-5,089994","2,03",102,167,"1,637254902",110,167,"1,518181818","106,461011","166,87377","1,567463699",2,0,Derecha,0,9
159406,CUNDINAMARCA,15,FUSAGASUGA,94,06,GERARDO HUMBERTO CARDONA CARDONA,11038,FUSAGASUGA UN COMPROMISO QUE NOS UNE,2454,M,35,42,Male,"0,364","5,632","22,299177","12,040164","-1,8983426","80,643",77,90,"1,168831169",85,90,"1,058823529","85,61587519","89,71872184","1,047921564",4,0,,0,
2313003,NARIÑO,23,SAPUYES,130,03,JESUS ORLANDO MORA CAICEDO,1942,PARTIDO ALIANZA VERDE,4,M,51,51,Male,"0,548","5,929","22,753395","-3,5825357","-2,8951523","2,426",106,177,"1,669811321",111,177,"1,594594595","108,3329014","177,0266255","1,634098443",2,Alianza Verde,Izquierda,0,15
1514504,CUNDINAMARCA,15,LA PALMA,145,04,LUIS FERNANDO PAEZ GIRALDO,101,PARTIDO CONSERVADOR COLOMBIANO,2,M,63,65,Male,"0,062","6,739","22,55067","2,7950656","-6,643759","0,921",101,153,"1,514851485",106,153,"1,443396226","104,8338901","151,6254708","1,446340212",4,Conservador,Derecha,0,11
1510901,CUNDINAMARCA,15,GIRARDOT,109,01,NESTOR IVAN PAREDES NARVAEZ,2870,PARTIDO LIBERAL COLOMBIANO,1,M,46,42,Male,"0,323","8,466","21,970098","-4,602633","0,7257289","2,685",110,213,"1,936363636",121,213,"1,760330579","120,559649","213,4135584","1,770190608",6,Liberal,Derecha,1,10
520501,META,52,ACACIAS,05,01,CARLOS JULIO PLATA BECERRA,12496,PARTIDO CENTRO DEMOCRATICO,11,M,81,65,Male,"0,718","8,501","21,252056","-12,71957","1,7068906","1,196",99,192,"1,939393939",102,192,"1,882352941","103,8610742","192,4509629","1,852965266",2,Centro Democrático,Derecha,1,12
